initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,97.1874,51.641,224.183,0.48844,4.79945,1.67244,3.27537,1.14695,NN_Adam
0,0,0,0,0,276.639,260.315,130.823,0.754852,5.98639,5.36299,3.58554,5.4464,NN_Adam
0,0,0,0,0,188.16,234.356,111.404,0.894188,4.76276,1.12982,2.86311,4.54565,NN_Adam
0,0,0,0,0,-512.033,-80.3507,79.6248,3.29713,5.91626,0.661303,1.03928,0.721104,NN_Adam
0,0,0,0,0,309.829,-171.113,81.4188,2.63688,3.50333,0.783299,6.16591,3.16442,NN_Adam
0,0,0,0,0,-155.232,351.905,468.687,1.98611,0.541496,0.793957,0.768201,5.36892,NN_Adam
0,0,0,0,0,-161.952,-19.6341,308.883,3.26219,1.26087,2.30155,4.61642,0.988303,NN_Adam
0,0,0,0,0,-178.264,145.835,122.499,2.45564,4.15341,1.76981,2.72007,0.164514,NN_Adam
0,0,0,0,0,-283.876,205.48,77.8097,2.51502,0.208497,0.647518,5.79024,1.75357,NN_Adam
0,0,0,0,0,-337.763,332.073,99.7469,2.36452,6.05449,0.978332,0.320879,0.999488,NN_Adam
0,0,0,0,0,437.6,-18.5989,264.4,3.09888,3.19784,5.51272,2.10987,5.89801,NN_Adam
